query_index,query_rating,query_text,rank,retrieved_train_index,retrieved_similarity,retrieved_rating,retrieved_text
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",1,16358,0.9584053754806519,4,"OK.So no doubt the title caught your eye and you're curious - what does he mean?  I mean some of the reviews here are a little inaccurate, and I intend to respond to some of these comments.  But first, let me give my personal thoughts on this machine.Background: I'm currently in the process of getting my body back into the shape it used to be in during high school.  I have a Bowflex which does great for the strength training and muscle development, but regardless of what the commercials say, it's NOT designed to help you lose weight.  So I decided to get the Gazelle Freestyle.First thing I noticed was that the parts are very sturdy and thick, definitely not as cheap as it looks in the pictures.  They're hollow piping, so the whole deal is not too heavy; less than 60lbs.  There also aren't that many parts to assemble, however I was not happy with the assembly process, for many reasons.First, the parts had some bolts pre-screwed into final holes which irritated me.  It means you have to unscrew, find a place for them, then re-screw them after you connect the parts which, incidentally, might not happen until the end of the assembly.  It's just an irritant; I'd rather just have the standard board of bolts and parts that comes with stuff today and let me attach it when it's good and ready.Second, the instructions aren't clear and the pictures are ambiguous.  It makes it extremely difficult to know how things should be laid out - additionally, one of the steps is wrong.  It shows a picture of the foot rests upside down, yet if you install it that way, it'll be wrong.Third is a symptom of the second one above.  The steps in the instructions tell you to do things the wrong way - literally, assemble it in the wrong direction.  If you do it in reverse, the assembly will go a LOT quicker and you'll realize that it's actually nowhere near as complex as it's made out to be.  It's quite simple, really consisting of three steps instead of the 7-8 that the instructions have you believe.Ok, so now that the bad news is out of the way, onto the actual experience (and my responses to the other reviews).Squeaks: Haven't noticed any.  It makes a tiny noise as moving parts will, but it's nothing deal breaking.  If you get some regular grease and add a bit to the axle bar, you won't even notice it.  It does come pre-greased, but again, if the squeaking bothers you so much....Ineffective:  Uh, what?  I'm in decent shape and I was able to get a decent workout from this thing.  I think some of these guys had super-high expectations based on Tony Little jumping around like an idiot.  You're not going to start sweating on this thing after a minute of moving, even if you do it rapidly.  There's a reason for this, and it's a good reason if you think about it: merely moving doesn't cause you to sweat.  Impact causes you to sweat, even if you don't actually come in contact with something.  That's why if you were shadow boxing, you'll get a good workout, because you're actually making impacts with the air, sharp hits that actually exert your muscles.  This machine doesn't actually exert your muscles beyond normal range of motion, which is why it shouldn't be used for any strength or endurance training.  It will, however, give you a good cardio workout after a time.  NOT A MINUTE.  That said, I did the workout all through a 10-minute WWE match, and by the end of it I was at the beginning stages of sweating, and started to feel a little fatigue; comparable to what you would feel after having walked rapidly for two miles, but with less muscle exertion.  I took a break, and got the feeling in my legs where it seemed as though I was still going through the motion.Heart Monitor: I think this device is not useful.  I'm serious.  I mean if I were actually running or walking then I would pay attention, but as I mentioned before, there is no true exertion on this device which would really push your heart muscle.  To me, a heart monitor is more useful on a treadmill or even an elliptical, not on this.  If you use it, great...I didn't even bother installing it, therefore I can't review it.So, do I recommend it?  Yes...as long as you don't have any misconceptions about performance.  It's not going to cause you to start sweating after a minute of use.  You really need to work it for at least 10 minutes, consistently, changing speed and angle.  If you lean forward, you add some resistance and will feel it."
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",2,15315,0.9582012891769409,5,"Bought this for my wife a couple months ago and it's great!  I bought it over a Kindle because of issues I researched about Amazons' proprietary ebook formats and to get library books or other epubs you had to do some conversion to get them to work on the Kindle.  I wanted the easiest thing for my wife to deal with and the Nook is great - had a couple ebooks (from Borders.com and Barnes and Noble) downloaded and library books the first night!  Just need a free download to manage the books from Adobe and your set.  Its easy to navigate, batteries last about a month and my wife uses it every day.  Buy it!!!!!!!!!!!!!!!!!!"
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",3,7710,0.9578288793563843,5,"I received this item for Christmas.  I wanted it so I could make more natural ice cream without all those additives.  I used a simple recipe from off the web: Some whole milk, condesed milk, and cocoa powder.  At first it was a failure because I only froze the container for 5 hours.  It didn't swish when I shook it, so I thought I was good to go.  After nearly 2 hours I just had cold ingrediants.  I put them in the fridge and froze the container overnight and restarted in the morning.  After only 30 minutes I had some of the most amazing ice cream I have ever had.  I will never buy ice cream from the store again.  This ice cream maker is awesome, I love it."
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",4,19743,0.9578187465667725,5,"After receiving my iTorch, I decided a good first use would be a music festival I was headed to over the weekend. The music festival was the perfect environment to test out the iTorch:-I needed my phone at all times in order to meet up with friends at the festival-We were camping and I had no other way to charge my phone-The flashlight would get a good workout while looking for my stuff in the darkInitially, I was concerned that the iTorch would not be compatible with my Samsung Galaxy S3, but after checking the electrical specs, I knew the iTorch would work fine with my phone. The iTorch performed admirably over the weekend; by day 3, almost everyone else that I saw had a dead battery in their phone, whereas I had no concerns with constantly taking pictures and videos with my S3 as I knew that I would be able to charge it as needed.I was quite surprised that I was able to fully charge my phone twice using the iTorch, and even then, the internal iTorch battery was not depleted!Pros:-Extremely compact: I put the iTorch in my front pocket and basically forgot it was there-High battery capacity: Charged a Galaxy S3 (2100mAH capacity) twice and still had a charge left in the iTorch-USB charger means that I can charge up the iTorch while I'm on the go in my car.-Flashlight provides nice bonus functionality. I do a lot of camping and it's nice to have my phone charger and flashlight all in one.Cons:-iTorch took a fair amount of time to charge, which I would estimate at 3-4 hours. Even then, it may just be that I'm use to a much smaller capacity phone battery which would inherently mean it takes longer for the iTorch to charge.-While the device is extremely easy to use, the included instructions were a little confusing. I would suggest that a native English speaker go through the instruction and fix the grammar and spelling errors.Suggestion:-The Galaxy S3 should be listed in the compatible devices list on the Amazon listing. As one of the premiere Android phones, I could see people being a little nervous buying the iTorch for their Galaxy S3 since it's not listed. From what I could tell, the iTorch was 100% compatible with the S3."
3,5,"I use these for my sandwiches and bento box lunches.  I like to cut patterns out of white and wheat bread and mix the colors of breads, and I also use these to cut various circles in cheeses, lunch meats and veggies, to make abstract art salads.  They also come in handy for decorating bento box art- because circles are often the basis for various designs I make.  You do need to keep these dry, so wipe them off carefully.  I saved some of those packets that dehydrate things (the kind you find in the bottom of the jerkey package, for example, that say DO NOT EAT)- and I put that in the tin with the cutters.  So far no rust, and I use these little guys constantly.  I especially like how deep these cut, as some cutters aren't quite deep enough for making sandwich art- and some thick breads are too deep to cut through.hmmm- it won't let me add a link.  So if you want to see the pictures of what this and other Amazon cutters can do, google ""A year of lunches""- my sopressata roll up was the first link that came up for me.",5,14482,0.9576443433761597,5,"I received my Mini-Prep about two weeks ago, and I have used it everyday 2 or 3 times a day to make homemade baby food for my daughter. It is GREAT! It is easy to clean and I love that you can switch the blade from sharp to grind mode! I do recommend looking over the user guide for which blade side and speed for optimal chopping/processing. I had been using my full size Cuisinart to make her baby food prior to getting this, which as any one with the full size Cuisinart knows is a pain to drag out and I couldn't make just small portions for her. So, the Mini-Prep was the perfect solution for me! I have processed just about anything and everything in this so far and it has worked beautifully! I highly recommend this for any small job in the kitchen. Another plus is you are able to buy extra bowls so if you want to use it for coffee or spice grinding you can have a bowl specifically for those uses so other foods do not absorb the flavors of coffee or spices."
4,5,"I'm a big fan of Queen Helene's masks for one particular reason: They're as effective as high end brands, and generally work. This mask in particular is great at evening your skin tone, and shrinking your pores if you use it regularly. I use it at least three times a week, and it makes my skin appear healthy and glowing. I'd also, recommend their other mask,Queen Helene Mint Julep Masque, 8 Ounce. It's an excellent mud mask, and its tingling sensation really makes me feel like it's deep cleaning.",1,16373,0.9233317971229553,5,"I do a lot of networking with other businesses (Linksys and belkin) love the Linksys and the belkin both.I am very happy with this switch, it workes great without problems (sofar), connects easely and smoothly with-out trouble.I love this switch.It says, connect and use, I just connected all the cables, with in seconds, it was working GREAT with no problems.I recomend this to anyone.If anything goes wrong, I will update.(Bought at staples)(I am using my moms account)"
4,5,"I'm a big fan of Queen Helene's masks for one particular reason: They're as effective as high end brands, and generally work. This mask in particular is great at evening your skin tone, and shrinking your pores if you use it regularly. I use it at least three times a week, and it makes my skin appear healthy and glowing. I'd also, recommend their other mask,Queen Helene Mint Julep Masque, 8 Ounce. It's an excellent mud mask, and its tingling sensation really makes me feel like it's deep cleaning.",2,8199,0.918328583240509,4,"My siblings purchased this set as a wedding gift for my wife and I.  We love to cook, and this set is rather nice.  Two years' after receiving them, we have never had to sharpen them.  We've used them to cut bread, meat, poultry, fish, vegetables and fruit.  There's a knife for everything, and the scissors are nice as well.  They're very durable, and can slice through something tough like lean beef, or something fine like a ripe tomato.  I recommend them."
4,5,"I'm a big fan of Queen Helene's masks for one particular reason: They're as effective as high end brands, and generally work. This mask in particular is great at evening your skin tone, and shrinking your pores if you use it regularly. I use it at least three times a week, and it makes my skin appear healthy and glowing. I'd also, recommend their other mask,Queen Helene Mint Julep Masque, 8 Ounce. It's an excellent mud mask, and its tingling sensation really makes me feel like it's deep cleaning.",3,25739,0.9167513847351074,5,"Great sound out of these guys, they have an excellent bass reproduction, and treble is where it should be, overall a wonderful balance. The midrange is excellent, with instruments apparent I didn't know were there. They are also very light, so if you're confident enough in how they look, you can wear them around.the main point of my review was to say they are iPhone FRIENDLY, atleast the ones I got from Amazon directly.Would definitely recommend if you need something under a hundred dollars."
4,5,"I'm a big fan of Queen Helene's masks for one particular reason: They're as effective as high end brands, and generally work. This mask in particular is great at evening your skin tone, and shrinking your pores if you use it regularly. I use it at least three times a week, and it makes my skin appear healthy and glowing. I'd also, recommend their other mask,Queen Helene Mint Julep Masque, 8 Ounce. It's an excellent mud mask, and its tingling sensation really makes me feel like it's deep cleaning.",4,4753,0.9146331548690796,5,"I use these wipes whenever I get home from the range and finish cleaning up all my guns. I like to wipe down the exterior parts of my guns with this, as it keeps the metal protected and nicely lubricated. Much easier than dabbing some lubricant from a bottle onto some gun patches. They're like anti bacterial wipes, but for your guns, keep them nice and healthy!"
4,5,"I'm a big fan of Queen Helene's masks for one particular reason: They're as effective as high end brands, and generally work. This mask in particular is great at evening your skin tone, and shrinking your pores if you use it regularly. I use it at least three times a week, and it makes my skin appear healthy and glowing. I'd also, recommend their other mask,Queen Helene Mint Julep Masque, 8 Ounce. It's an excellent mud mask, and its tingling sensation really makes me feel like it's deep cleaning.",5,29957,0.9137066602706909,5,I have never owned a &#34;Flat&#34; Whisk before.  Holy (Beep).  How did I ever live without one?  These whisks are so wonderful for gravy and so many other things.  The OXO Good Grips brand seems to be of high quality.  It has a great feel in your hand and doesn't feel too heavy or too light and the wires seem to have just the right amount of flexibility without feeling too weak or too rigid.  I love this whisk and use it all of the time.  A must have for serious cooks.
5,5,"This was a great purchase over all. The scope was clear, packaged very well and it had the appearance of a much nicer scope for the price.  This scope would fit any shooting requirement as long as you find the one that meets your shooting requirements (mounting space, magnification, eye relief etc). Do your research and you will see people love these scopes and the brand is legit.",1,10712,0.9485509395599365,5,"This is without a double the 'best' shower radio I have ever owned.  The reception is crisp and clear and I love the pre-programmable stations.  It is also a very attractive radio and so when not in the shower with me, it looks nice sitting on my bathroom counter.  It's very user friendly; no complicated directions.  Perfect for us 50+ technically challenged.  I would definitely recommend this product to everyone."
5,5,"This was a great purchase over all. The scope was clear, packaged very well and it had the appearance of a much nicer scope for the price.  This scope would fit any shooting requirement as long as you find the one that meets your shooting requirements (mounting space, magnification, eye relief etc). Do your research and you will see people love these scopes and the brand is legit.",2,20165,0.9448418617248535,5,"I upgraded some of my kitchen tools and utensils and this whisk made the cut.  I chose to buy this whisk because it is made in America, the large size, and the quality of the construction.  I bought this size solely for large jobs, like mashed potatoes. Smaller whisks would require much more muscle for the job.  I love it! Yes, it is very large so keep your storage options in mind when ordering."
5,5,"This was a great purchase over all. The scope was clear, packaged very well and it had the appearance of a much nicer scope for the price.  This scope would fit any shooting requirement as long as you find the one that meets your shooting requirements (mounting space, magnification, eye relief etc). Do your research and you will see people love these scopes and the brand is legit.",3,34636,0.9443718791007996,5,"Remember, in a power outage, the manual can opener still works, heh.  And they are quieter.  This one is so much better than the cheap types I've subjected myself to in the past.  This one opens cans when I squeeze and turn the finger-friendly handle - that's all I wanted, and that's what I got.  Stainless and easy to clean. It looks nice enough to hang up. Very satisfied."
5,5,"This was a great purchase over all. The scope was clear, packaged very well and it had the appearance of a much nicer scope for the price.  This scope would fit any shooting requirement as long as you find the one that meets your shooting requirements (mounting space, magnification, eye relief etc). Do your research and you will see people love these scopes and the brand is legit.",4,25903,0.9440807104110718,5,"My daughter has owned two of these (because we lost one) and we love it. The swim class she takes has all of the kids weal &#34;bubbles&#34; so we looked for one of those. The prices were absurd, and we stumbled across this. Adjustable waist and weight, bright colored and it works every bit as well as the bubble. Really a nice and affordable swimming aid."
5,5,"This was a great purchase over all. The scope was clear, packaged very well and it had the appearance of a much nicer scope for the price.  This scope would fit any shooting requirement as long as you find the one that meets your shooting requirements (mounting space, magnification, eye relief etc). Do your research and you will see people love these scopes and the brand is legit.",5,6087,0.9419005513191223,5,My old salad spinners were cheap.  What a difference a few dollars make!  It does the job extremely well -- it's fast and effecient. This one is much easier to use.  I love the stop feature and the rubberized footing that keeps it stable on the counter.  Dishwasher safe and has a storage lid.  What more could you want.  I've found that the greens keep well in the spinner when you line the basket with paper towels.I enthusiasticly recommend this product to anyone who needs a salad spinner.
6,5,"This is good product compared to its price. I'm using it for watching video, writing documents, and web searching. It's perfect for my needs, and I upload CM 1.0, so now I'm using it with Android... It's so good. :-)",1,16823,0.9447730779647827,5,"Great price for the belts.  It goes for the Hoover WindTunnel T-Series Pet Rewind Plus Upright Vacuum, Bagless, UH70210 which I just bought and it is good to have extra on hand."
6,5,"This is good product compared to its price. I'm using it for watching video, writing documents, and web searching. It's perfect for my needs, and I upload CM 1.0, so now I'm using it with Android... It's so good. :-)",2,13217,0.9393689036369324,5,"The title pretty much says it all; this works well for an HD2.  It's well made and convenient to carry with me.  I like the short cord better than the solid unit adapters as it provides a little more give/twist if I'm using a 6"" USB cord at work."
6,5,"This is good product compared to its price. I'm using it for watching video, writing documents, and web searching. It's perfect for my needs, and I upload CM 1.0, so now I'm using it with Android... It's so good. :-)",3,33134,0.9376735091209412,4,"I bought these for sharpening my skis and they work well.  They're the perfect size to clamp onto your edge tuner.  Make sure to wash them when you're done, and don't let them fill up with wax..."
6,5,"This is good product compared to its price. I'm using it for watching video, writing documents, and web searching. It's perfect for my needs, and I upload CM 1.0, so now I'm using it with Android... It's so good. :-)",4,4548,0.9362209439277649,5,"nice and warm. perfect for bumming around the house or out for a walk/ride on a cool day. they seem very well built and so far seem to resist pill-ing, unlike regular sweats"
6,5,"This is good product compared to its price. I'm using it for watching video, writing documents, and web searching. It's perfect for my needs, and I upload CM 1.0, so now I'm using it with Android... It's so good. :-)",5,7566,0.9360325336456299,4,"OXO Steel 59891 Lasagna TurnerSuperb quality, good feel.  I would like more stiffness in the ""blade"" for flattening 'burgers.  It's a very good size for general use (a more useful size, I think, than most turners or spatulas)."
7,1,"I don't know if I'm doing something wrong but this won't charge my Droid Incredible.  I took a five hour drive but when I unplugged the phone, the battery was completely discharged and the phone was very hot to the touch.",1,15920,0.8374387621879578,5,I have used several gun oils but I find this one to be the best. Months after storing several guns they look as if I just oiled them. I prefer the aerosol spray to the wipes personally. Will buy more when I run out!
7,1,"I don't know if I'm doing something wrong but this won't charge my Droid Incredible.  I took a five hour drive but when I unplugged the phone, the battery was completely discharged and the phone was very hot to the touch.",2,15167,0.8314229846000671,4,"This was a little darker than the color I really wanted, but Essie is nice! I just don't like how the brush is small. But that's not really a big problem. I like it and would recommend it."
7,1,"I don't know if I'm doing something wrong but this won't charge my Droid Incredible.  I took a five hour drive but when I unplugged the phone, the battery was completely discharged and the phone was very hot to the touch.",3,15497,0.8204832673072815,3,I like these but wish I had gotten the ones with the snap to make them more secure. They work but if it is a treck thru the woods or a brisk run I would not trust them.
7,1,"I don't know if I'm doing something wrong but this won't charge my Droid Incredible.  I took a five hour drive but when I unplugged the phone, the battery was completely discharged and the phone was very hot to the touch.",4,11590,0.8158168196678162,4,"But they don't last a really long time but at the price, that's not an issue. The material is nice and soft and the inside has a soft lining to protect the phone. nice that it has belt loops as well as the clip."
7,1,"I don't know if I'm doing something wrong but this won't charge my Droid Incredible.  I took a five hour drive but when I unplugged the phone, the battery was completely discharged and the phone was very hot to the touch.",5,27460,0.8048926591873169,4,"I prefer this type of handle for a potato masher to the sideways ones. I wish the sides were a thicker metal, but I think it will stand up to the test of time, it seems pretty heavy-duty. Love the material on the handle!"
